month,GEOID,county,gridmet_gdd_mean,nldas3_gdd_mean
1,01027,Clay,26.99743081288812,34.139031405472636
1,01091,Marengo,44.40026438843334,56.51025883838384
1,01049,DeKalb,19.603990111672328,22.13216176644581
1,01019,Cherokee,22.88348983047807,28.56922929447853
1,01065,Hale,41.28059841315925,50.64238392857143
1,01105,Perry,41.89571204856612,51.37743633056133
1,01033,Colbert,22.91701997264345,24.07374636627907
1,01063,Greene,38.38355030926812,48.863448509485096
1,01013,Butler,60.574712917284316,63.958011194952995
1,01081,Lee,38.72766326111654,47.0086318597561
1,01097,Mobile,73.60322548924415,84.87688561249242
1,01057,Fayette,27.55847718295688,36.73478273095381
1,01017,Chambers,33.016764907338455,41.097074992118536
1,01125,Tuscaloosa,34.04081098341803,42.51469809322034
1,01131,Wilcox,48.593397177930385,59.28998662961409
1,01095,Marshall,23.383079680386114,24.677990317414093
1,01053,Escambia,64.7882965184995,76.81135989832536
1,01083,Limestone,22.619433310218025,23.371566661622275
1,01009,Blount,25.81479108433539,31.795008607363688
1,01099,Monroe,58.90836281894143,66.60894739275147
1,01093,Marion,24.270440088628554,31.1449791875313
1,01085,Lowndes,51.353247733280824,57.913923429319375
1,01037,Coosa,35.9189558294757,41.84763859463277
1,01109,Pike,58.40323298198449,63.33166572717024
1,01119,Sumter,41.429077899423284,50.366066452168624
1,01133,Winston,23.581350471886545,28.562967254784688
1,01121,Talladega,33.090188875765605,38.879767978620016
1,01071,Jackson,18.675484850979714,21.663984712080982
1,01003,Baldwin,74.20137730236394,91.79179425699098
1,01011,Bullock,51.20354506866867,59.19061839522947
1,01001,Autauga,42.575839757119674,49.71650954376164
1,01087,Macon,46.15496528993828,56.405147681762166
1,01115,St. Clair,29.45278927149934,34.445677345497764
1,01023,Choctaw,49.43417204122965,57.96720805921053
1,01043,Cullman,24.518110724555278,29.945516797820822
1,01117,Shelby,36.59030899362486,40.56732040229885
1,01047,Dallas,45.25842290348059,55.26372658024224
1,01107,Pickens,35.027087793442995,42.455544183326246
1,01077,Lauderdale,21.481774383873198,21.696853188451776
1,01029,Cleburne,23.62826211050063,30.808511997220407
1,01005,Barbour,55.63627397501271,62.04366447368421
1,01061,Geneva,65.48832112993543,79.10566264063534
1,01045,Dale,65.82404898903619,71.91583709924966
1,01123,Tallapoosa,35.28331553780712,41.85155472636816
1,01025,Clarke,54.44984962514609,64.62952352231605
1,01069,Houston,70.74716161573289,77.81392508143323
1,01129,Washington,57.783306749405696,69.66298385658223
1,01089,Madison,22.326531010841975,25.27649189242356
1,01041,Crenshaw,62.20643390148699,64.44263059701493
1,01015,Calhoun,27.39467713780574,34.561338429256594
1,01079,Lawrence,22.631166488553994,25.90422237435567
1,01103,Morgan,24.451281372461715,26.910531019372694
